EPBC Number,Stem,Url,Under Review,Scraped
2010/5655,?id=a292f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a292f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2010/5513,?id=5eb6fe5f-4852-ec11-80cf-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5eb6fe5f-4852-ec11-80cf-00505684c137,True,2023/03/18
2011/5829,?id=0a93f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0a93f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2009/5109,?id=6f91f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6f91f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2011/5867,?id=2b93f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2b93f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2013/6913,?id=8dd49743-e48d-eb11-80c3-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8dd49743-e48d-eb11-80c3-00505684c137,True,2023/03/18
2013/6987,?id=8b94f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8b94f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2006/3047,?id=cee7d901-d250-ec11-80cf-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=cee7d901-d250-ec11-80cf-00505684c137,True,2023/03/18
2018/8141,?id=200d6d29-3153-ec11-80cf-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=200d6d29-3153-ec11-80cf-00505684c137,True,2023/03/18
2007/3431,?id=f493f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f493f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2007/3330,?id=db93f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=db93f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2005/2202,?id=a593f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a593f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2005/2394,?id=8660fec4-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8660fec4-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2017/8099,?id=d0d7b009-4ec6-ea11-97dc-00505684324c,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=d0d7b009-4ec6-ea11-97dc-00505684324c,True,2023/03/18
2007/3643,?id=0c46d290-bd0d-eb11-9650-005056842ad1,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0c46d290-bd0d-eb11-9650-005056842ad1,True,2023/03/18
2017/8129,?id=18237a6d-7052-ec11-80d2-00505684c563,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=18237a6d-7052-ec11-80d2-00505684c563,True,2023/03/18
2017/8049,?id=8322b83c-eb82-eb11-80c5-00505684c563,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8322b83c-eb82-eb11-80c5-00505684c563,True,2023/03/18
2010/5331,?id=eb91f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=eb91f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2011/5819,?id=0093f6ca-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0093f6ca-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2008/3945,?id=b560fec4-6067-e511-b4b8-005056ba00ab,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=b560fec4-6067-e511-b4b8-005056ba00ab,True,2023/03/18
2009/5031,?id=88f3e70b-7bcd-ea11-97dc-00505684324c,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=88f3e70b-7bcd-ea11-97dc-00505684324c,True,2023/03/18
2014/7346,?id=fd7923de-0093-e511-b341-005056ba00a7,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=fd7923de-0093-e511-b341-005056ba00a7,True,2023/03/18
2015/7429,?id=7a4d7574-e0b4-e911-ad32-00505684324c,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7a4d7574-e0b4-e911-ad32-00505684324c,True,2023/03/18
2011/6228,?id=21d4d254-35b1-e611-b33d-005056ba00a7,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=21d4d254-35b1-e611-b33d-005056ba00a7,True,2023/03/18
2012/6643,?id=62d13991-2b53-ec11-80cf-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=62d13991-2b53-ec11-80cf-00505684c137,True,2023/03/18
2015/7621,?id=a8151ae7-6a1a-eb11-9650-005056842ad1,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a8151ae7-6a1a-eb11-9650-005056842ad1,True,2023/03/18
2017/7957,?id=b142082f-6731-ec11-80cd-00505684c137,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=b142082f-6731-ec11-80cd-00505684c137,True,2023/03/18
2018/8381,?id=672b5f23-aee2-ea11-942e-00505684324c,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=672b5f23-aee2-ea11-942e-00505684324c,True,2023/03/18
