EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2020/8772,Boulder Creek Wind Farm,Under review,2022-06-29,2077-07-21,Boulder Creek Wind farm Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a242a8dd-de66-ed11-9561-00224818a6aa,2023-03-01
2020/8772,Boulder Creek Wind Farm,Under review,2022-06-29,2077-07-21,Boulder Creek Wind farm Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a242a8dd-de66-ed11-9561-00224818a6aa,2023-03-01
2019/8543,"Bunbury Outer Ring Road Southern Section project, WA",Under review,2022-06-28,2072-12-30,MAIN ROADS,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=fd7f3c05-f966-ed11-9561-00224818a6aa,2023-03-01
2020/8716,Tilbuster Solar Farm,Under review,2022-06-26,2060-05-30,EP Sunspot 5 Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8831a460-f466-ed11-9561-00224818a6aa,2023-03-01
2019/8569,Western Outer Ring Main (WORM) – High pressure gas transmission pipeline,Under review,2022-06-23,2072-06-29,APA VTS AUSTRALIA (OPERATIONS) PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7c10759b-f866-ed11-9561-00224818a6aa,2023-03-01
2020/8846,Latrobe Levee,Under review,2022-06-05,2042-05-31,Latrobe Council,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2c58177b-eb66-ed11-9561-00224818a6aa,2023-03-01
2021/8965,"Woodbury Ridge Estate, Sutton",Under review,2022-06-02,2045-03-15,CAPITAL PLUS 1 WOODBURY RIDGE PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=842c5a0a-2869-ed11-81ac-00224818abd2,2023-03-01
2021/9002,Townsville City Council Ross River Dam to Douglas Water Treatment Plant Pipeline Project,Under review,2022-06-01,2027-06-29,Townsville City Council,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=24418242-da66-ed11-9561-00224818a6aa,2023-03-01
2021/9033,Queensland Pacific Metals - Townsville Energy Chemicals Hub TECH Project,Under review,2022-11-01,2062-10-02,QPM TECH PROJECT PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=48133276-3666-ed11-9561-00224818a3ef,2023-03-01
2018/8341,"Greater Paraburdoo Iron Ore Hub, WA",Under review,2022-10-27,2074-12-30,HAMERSLEY IRON PTY. LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c466ed08-fd66-ed11-9561-00224818a6aa,2023-03-01
2018/8341,"Greater Paraburdoo Iron Ore Hub, WA",Under review,2022-10-27,2074-12-30,HAMERSLEY IRON PTY. LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c466ed08-fd66-ed11-9561-00224818a6aa,2023-03-01
2018/8363,"Snowy 2.0 transmission connection project, NSW",Under review,2022-10-20,2140-12-30,NSW Electricity Networks Operations Pty Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=e44db5b4-fb66-ed11-9561-00224818a6aa,2023-03-01
2021/9060,Powerlink Queensland Genex Kidston Connection Project,Under review,2022-10-09,2085-12-30,QUEENSLAND ELECTRICITY TRANSMISSION CORPORATION LIMITED (Powerlink Queensland),https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ddf18ae1-d666-ed11-9561-00224818a6aa,2023-03-01
2021/9060,Powerlink Queensland Genex Kidston Connection Project,Under review,2022-10-09,2085-12-30,QUEENSLAND ELECTRICITY TRANSMISSION CORPORATION LIMITED (Powerlink Queensland),https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ddf18ae1-d666-ed11-9561-00224818a6aa,2023-03-01
2018/8348,"Sport and recreational facility, 151C Green Gully Road, Keilor Downs, Vic",Under review,2022-10-06,2042-07-29,BRIMBANK CITY COUNCIL,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=056d2d5a-fc66-ed11-9561-00224818a6aa,2023-03-01
2021/8885,Sanjiv Ridge Project - Stage 2,Under review,2022-10-04,2039-08-30,Atlas Iron Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6597558d-dd66-ed11-9561-00224818a727,2023-03-01
